,PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
0,1,"Pauli, Emily",,Aurora Alumni,5:56.1,22:07.9,
1,2,"Harrison, Patricia",,UNA,5:58.7,22:17.3,
2,3,"Roberts , Emma",JR-3,Benedictine (Ill.),5:59.0,22:18.7,1
3,4,"Brock, Karalynn",SR-4,Olivet Nazarene,6:10.7,23:02.1,2
4,5,"Schultz, Julia",-62615,Illinois Cross Country Club,6:15.7,23:20.8,3
5,6,"Schulz, Anneliese",-62615,Illinois Cross Country Club,6:17.2,23:26.5,4
6,7,"Gilligan, Emily",FR-1,Elmhurst,6:17.4,23:27.2,5
7,8,"Budach, Angela",JR-3,Olivet Nazarene,6:18.1,23:29.7,6
8,9,"Oechsle, Hannah",JR-3,Wheaton (Ill.),6:19.9,23:36.3,7
9,10,"Spadlowski, Elita",SO-2,Elmhurst,6:22.0,23:44.4,8
10,11,"Wolke, Isabella",SO-2,Elmhurst,6:22.6,23:46.8,9
11,12,"Reyes, Jazzmine",SR-4,Aurora,6:22.9,23:47.7,10
12,13,"Jankowski, Emma",SO-2,Bethel (Ind.),6:28.1,24:07.3,11
13,14,"Mondrella, Alisandra",SO-2,Elmhurst,6:29.2,24:11.2,12
14,15,"DePalma, Jessica",FR-1,Elmhurst,6:29.2,24:11.3,13
15,16,"Galvan, Kaylee",FR-1,Bethel (Ind.),6:30.6,24:16.3,14
16,17,"Miner, Johnelle",JR-3,Carthage,6:30.8,24:17.3,15
17,18,"Vargas, Sarai",FR-1,Olivet Nazarene,6:31.4,24:19.4,16
18,19,"Burkhart, Chloe",JR-3,Judson,6:32.0,24:21.8,17
19,20,"Wille, Kate",SO-2,Carthage,6:32.3,24:22.7,18
20,21,"Dent, Victoria",-67179,Illinois Cross Country Club,6:32.4,24:23.3,19
21,22,"Temple, Rachael",-62175,Harper College,6:33.4,24:26.8,20
22,23,"Smith, Katelyn",FR-1,Carthage,6:33.8,24:28.5,21
23,24,"Kreiss, Taylor",-62175,Harper College,6:34.7,24:31.8,22
24,25,"McLaughlin, Allyson",JR-3,North Central (Ill.),6:34.8,24:32.1,23
25,26,"Bertaud, Amelia",-67179,Illinois Cross Country Club,6:35.0,24:32.9,24
26,27,"Weidner, Haley",FR-1,Sauk Valley CC,6:35.8,24:35.8,25
27,28,"Baig, Misbah",-62175,Harper College,6:36.0,24:36.6,26
28,29,"Brindise, Noel",-62615,Illinois Cross Country Club,6:36.1,24:36.9,27
29,30,"Gudwein, Grace",-67179,Illinois Cross Country Club,6:36.8,24:39.4,28
30,31,"Fiore, Jenna",FR-1,North Central (Ill.),6:38.0,24:44.2,29
31,32,"Krenz, Anna",SO-2,Concordia Univ. Chicago,6:38.1,24:44.4,30
32,33,"Kibler, Kelly",FR-1,DuPage,6:38.9,24:47.5,
33,34,"Hernandez, Natalia",FR-1,Elmhurst,6:39.6,24:49.9,31
34,35,"Ibarra, Celeste",SR-4,Benedictine (Ill.),6:39.7,24:50.5,32
35,36,"Nisen, Anna",JR-3,Bethel (Ind.),6:41.0,24:55.1,33
36,37,"Maynard, Rebecca",JR-3,Bethel (Ind.),6:41.0,24:55.1,34
37,38,"Mickulas, Kailyn",SO-2,Olivet Nazarene,6:41.5,24:57.0,35
38,39,"Yathaputanon, Tiffany",-67179,Illinois Cross Country Club,6:41.9,24:58.5,36
39,40,"Sanders, Laura",SO-2,Carthage,6:42.2,24:59.6,37
40,41,"Mayhill, Amy",FR-1,Carthage,6:43.9,25:06.0,38
41,42,"Drozda, Beata",FR-1,Elmhurst,6:43.9,25:06.1,39
42,43,"Stapleton, Catherine",JR-3,Wheaton (Ill.),6:44.2,25:07.3,40
43,44,"Shepard, Rachel",FR-1,Olivet Nazarene,6:44.8,25:09.4,41
44,45,"Barnes, Laura",SR-4,Wheaton (Ill.),6:44.9,25:09.7,42
45,46,"Mayer , Marie",SO-2,Judson,6:45.2,25:10.8,43
46,47,"Alexander, Elise",JR-3,Wheaton (Ill.),6:46.9,25:17.0,44
47,48,"McDonough, Grace",-67179,Illinois Cross Country Club,6:47.3,25:18.8,
48,49,"Egan, Carly",JR-3,Carthage,6:47.4,25:19.1,45
49,50,"Steiner, Vanessa",JR-3,Bethel (Ind.),6:48.5,25:23.3,46
50,51,"Juarez, Gaby",FR-1,Waubonsee CC,6:48.7,25:23.8,
51,52,"Widder, Hailey",SR-4,Olivet Nazarene,6:48.7,25:23.9,47
52,53,"Youell, Charlotte",JR-3,Benedictine (Ill.),6:48.8,25:24.4,48
53,54,"Latocha, Jaclyn",FR-1,Olivet Nazarene,6:49.0,25:25.0,49
54,55,"Bailey, Megan",SR-4,Wheaton (Ill.),6:49.4,25:26.4,50
55,56,"Oehler, Clare",-67179,Illinois Cross Country Club,6:49.4,25:26.5,
56,57,"McClary, Samantha",FR-1,Olivet Nazarene,6:49.7,25:27.6,
57,58,"Wikner, Kirsten",FR-1,Wheaton (Ill.),6:50.0,25:28.7,51
58,59,"Maschemeyer, Sherry",,Aurora Alumni,6:50.2,25:29.7,
59,60,"Harden, Mekenzie",FR-1,Sauk Valley CC,6:51.2,25:33.3,52
60,61,"Temple, Roxanne",-66681,Harper College,6:51.4,25:33.8,53
61,62,"Cisneros, Anali",JR-3,Judson,6:51.5,25:34.2,54
62,63,"McQueeny, Molly",JR-3,Carthage,6:51.8,25:35.4,55
63,64,"Allison, Madison",SO-2,Bethel (Ind.),6:52.1,25:36.4,56
64,65,"Widder, Taylor",FR-1,Olivet Nazarene,6:52.3,25:37.4,
65,66,"Kimball, Caroline",FR-1,Wheaton (Ill.),6:52.5,25:38.1,57
66,67,"Condic, Emily",-67179,Illinois Cross Country Club,6:52.5,25:38.2,
67,68,"Garcia, Becky",JR-3,Elmhurst,6:52.8,25:39.3,
68,69,"Dittmer, Emily",FR-1,Wheaton (Ill.),6:53.8,25:43.1,
69,70,"Bray, Patricia",SR-4,MSOE,6:54.0,25:43.6,58
70,71,"Murdoch, Gabrielle",JR-3,Elmhurst,6:54.4,25:45.2,
71,72,"King, Mariah",SO-2,Bethel (Ind.),6:54.7,25:46.4,59
72,73,"Ganser, Alexandra",FR-1,North Central (Ill.),6:55.4,25:48.8,60
73,74,"Taxer, Bettina",JR-3,Olivet Nazarene,6:55.8,25:50.3,
74,75,"White, Grace",FR-1,Olivet Nazarene,6:55.9,25:50.7,
75,76,"Vargas, Christina",JR-3,Olivet Nazarene,6:55.9,25:50.8,
76,77,"Bobosky, Dessa",FR-1,Carthage,6:56.3,25:52.2,
77,78,"Johnson, Natalia",JR-3,Bethel (Ind.),6:56.4,25:52.5,
78,79,"Monbrod, Marisa",SR-4,Carthage,6:57.5,25:56.9,
79,80,"Barragan, Tania",SO-2,Kishwaukee College,6:57.7,25:57.4,
80,81,"Romero, Emma",FR-1,Bethel (Ind.),6:59.9,26:05.9,
81,82,"Dahlquist, Naomi",FR-1,Olivet Nazarene,7:00.6,26:08.1,
82,83,"Kloster, Brianna",JR-3,Carthage,7:00.9,26:09.6,
83,84,"Taher, Diamond",FR-1,Bethel (Ind.),7:01.5,26:11.8,
84,85,"Haworth, Maia",-67179,Illinois Cross Country Club,7:01.8,26:12.8,
85,86,"Salzmann, Charlieanna",SO-2,North Central (Ill.),7:01.8,26:12.9,61
86,87,"Colgan, Elizabeth",FR-1,Olivet Nazarene,7:02.2,26:14.3,
87,88,"Nugent, Nataleigh",FR-1,Sauk Valley CC,7:03.2,26:17.9,62
88,89,"Mallary, Lexie",SR-4,Carthage,7:04.0,26:20.9,
89,90,"Curtin, Samantha",FR-1,Benedictine (Ill.),7:04.6,26:23.3,63
90,91,"Alarcon, Maria",FR-1,Judson,7:05.0,26:24.9,64
91,92,"Chaudhry , Fatima",JR-3,Judson,7:05.5,26:26.6,65
92,93,"Campbell, Molly",JR-3,Bethel (Ind.),7:06.2,26:29.0,
93,94,"Toe, Eyo",SR-4,Aurora,7:07.0,26:32.2,66
94,95,"Gessner, Jessi",-66681,Harper College,7:07.9,26:35.4,67
95,96,"Nava-Moyotl, Mayra",SO-2,Sauk Valley CC,7:07.9,26:35.4,68
96,97,"Claudio, Jennifer",SO-2,Elmhurst,7:09.3,26:40.7,
97,98,"Renteria, Izenet",SR-4,Aurora,7:09.5,26:41.6,69
98,99,"Grimaldi, Grace",FR-1,Elmhurst,7:13.5,26:56.4,
99,100,"Lilly, Emily",SO-2,Carthage,7:14.0,26:58.4,
100,101,"Jenkins, Kaitlin",SR-4,Benedictine (Ill.),7:14.9,27:01.6,70
101,102,"Armstrong, Kaitlin",SO-2,Wheaton (Ill.),7:15.2,27:02.7,
102,103,"Hawthorne, Ellie",SR-4,Wheaton (Ill.),7:15.3,27:03.0,
103,104,"Oslund, Kiersten",SO-2,Wheaton (Ill.),7:15.3,27:03.1,
104,105,"Samp, Emily",FR-1,Aurora,7:15.4,27:03.4,71
105,106,"Henry, Libby",FR-1,Olivet Nazarene,7:15.5,27:03.7,
106,107,"Stratton, Natalie",FR-1,Elmhurst,7:16.2,27:06.3,
107,108,"McCue, Maegan",SO-2,Sauk Valley CC,7:16.5,27:07.8,72
108,109,"Kolody, Daphne",FR-1,Waubonsee CC,7:17.5,27:11.5,
109,110,"Bower, Shayne",FR-1,Wheaton (Ill.),7:17.9,27:12.8,
110,111,"Smith, Becca",SO-2,Wheaton (Ill.),7:18.1,27:13.6,
111,112,"Douedari, Samia",FR-1,Benedictine (Ill.),7:18.8,27:16.2,73
112,113,"Lagerwall, Allie",JR-3,Olivet Nazarene,7:19.2,27:17.5,
113,114,"Stier, Emily",FR-1,Wheaton (Ill.),7:20.6,27:23.0,
114,115,"Gagnon, Dianna",FR-1,Wheaton (Ill.),7:20.7,27:23.2,
115,116,"Becker, Sophia",JR-3,Wheaton (Ill.),7:20.8,27:23.5,
116,117,"Colon, Jacqui",SR-4,Benedictine (Ill.),7:21.0,27:24.3,74
117,118,"Ferguson, Kathryn",FR-1,North Central (Ill.),7:21.3,27:25.5,75
118,119,"Wooster, Tyra",JR-3,Carthage,7:21.4,27:26.0,
119,120,"Chaudhary, Mahum",-67179,Illinois Cross Country Club,7:22.0,27:28.1,
120,121,"Grossmann, Aletheia",FR-1,Concordia Univ. Chicago,7:22.4,27:29.6,76
121,122,"Oley, Autumn",SR-4,Aurora,7:24.0,27:35.4,77
122,123,"Jones, Tyanna",SO-2,North Park,7:24.5,27:37.3,
123,124,"Conover, Indi",SR-4,Carthage,7:24.5,27:37.5,
124,125,"Thornburg, Cassidy",JR-3,Wheaton (Ill.),7:24.7,27:38.3,
125,126,"Mueller , Rachel",FR-1,Judson,7:24.8,27:38.4,78
126,127,"Balog, Morgan",JR-3,MSOE,7:28.7,27:53.0,79
127,128,"Gilmore, Abigail",SO-2,Olivet Nazarene,7:31.3,28:02.8,
128,129,"Maruga, Alexandra",SO-2,MSOE,7:32.4,28:07.0,80
129,130,"Kusik, Grace",JR-3,MSOE,7:33.4,28:10.7,81
130,131,"Robledo, Yanira",FR-1,Aurora,7:33.5,28:11.1,82
131,132,"Robinson, Karenna",SR-4,Wheaton (Ill.),7:33.6,28:11.5,
132,133,"Moore, Aly",FR-1,Kishwaukee College,7:34.9,28:16.2,
133,134,"Mwilambwe, Maya",SO-2,Olivet Nazarene,7:38.1,28:28.0,
134,135,"Rockness, Courtney",SO-2,Wheaton (Ill.),7:38.9,28:31.3,
135,136,"Weitkamp, Maira",FR-1,Waubonsee CC,7:41.4,28:40.3,
136,137,"Rocha, Isabel",FR-1,Benedictine (Ill.),7:42.9,28:45.9,
137,138,"Mendro, Jaquelyn",FR-1,North Park,7:43.0,28:46.4,
138,139,"Hansen, Payton",FR-1,Carthage,7:43.1,28:46.6,
